State	Vote
Alabama	red
Alaska	red
Arizona	red
Arkansas	red
California	blue
Colorado	blue
Connecticut	blue
Delaware	blue
District of Columbia	blue
Florida	red
Georgia	red
Hawaii	blue
Idaho	red
Illinois	blue
Indiana	red
Iowa	blue
Kansas	red
Kentucky	red
Louisiana	red
Maine	blue
Maryland	blue
Massachusetts	blue
Michigan	blue
Minnesota	blue
Mississippi	red
Missouri	red
Montana	red
Nebraska	red
Nevada	swing
New Hampshire	swing
New Jersey	blue
New Mexico	blue
New York	blue
North Carolina	red
North Dakota	red
Ohio	red
Oklahoma	red
Oregon	blue
Pennsylvania	swing
Rhode Island	blue
South Carolina	red
South Dakota	red
Tennessee	red
Texas	red
Utah	red
Vermont	blue
Virginia	blue
Washington	blue
West Virginia	red
Wisconsin	swing
Wyoming	red
